fips,Week_end,PRCP_mean,SNOW_mean,TMAXDELTA,TMINDELTA,COVID19-related_value,COVID19_value,influenza_value,s01_value,s02_value,s03_value,s04_value,s05_value,s06_value,scontrol_value,total_admissions
5,2022-01-15,59.14285714285714,0.0,105.33333333333331,68.22222222222221,6.5784097571428575,5.411002333333333,0.0635984761904761,2.820595233333333,4.0944104333333335,1.646544219047619,0.8923214380952381,0.0757142809523809,1.3186167714285717,3.651632647619048,34.0
5,2022-01-22,59.0,10.571428571428571,169.44444444444446,110.77777777777776,6.072682604761905,5.102907371428571,0.0606717952380952,2.604931966666667,3.788015871428572,1.584068019047619,0.8624744999999999,0.0746031761904761,1.225827657142857,3.6319047523809527,21.0
5,2022-01-29,15.57142857142857,2.571428571428572,164.11111111111111,99.2222222222222,4.199332180952381,3.558562433333333,0.0540416333333333,2.2058163285714287,3.205124723809524,1.3205578095238095,0.8043537571428572,0.0730385523809523,1.0324262952380951,3.591319714285714,18.0
5,2022-02-05,0.0,0.0,179.55555555555557,119.55555555555554,2.46524089047619,2.068531514285714,0.057326219047619,1.7864285714285713,2.609659876190476,1.0394557761904764,0.7271513714285714,0.0699546523809523,0.8246711952380953,3.575891147619048,23.0
5,2022-02-12,76.28571428571429,39.142857142857146,166.2222222222222,103.44444444444444,1.5485990714285716,1.2198531952380949,0.0815831333333332,1.5224829904761903,2.237913842857143,0.8920408142857142,0.6679081714285715,0.0703401428571428,0.7070975047619048,3.5443129238095232,29.0
5,2022-02-19,0.0,0.0,169.22222222222223,145.55555555555554,1.0785888047619048,0.8043327285714282,0.111619019047619,1.4310033952380952,2.1106235904761905,0.8281496619047619,0.6391326523809524,0.0698639476190475,0.6613832190476191,3.5587755047619045,26.0
5,2022-02-26,137.42857142857144,0.0,175.33333333333334,145.44444444444443,0.870311838095238,0.6515528476190473,0.1424073095238095,1.416717680952381,2.111541961904761,0.8131700619047618,0.6257312904761904,0.0708390095238094,0.6674149714285714,3.5390068,40.0
5,2022-03-05,199.0,9.0,174.66666666666666,178.2222222222222,0.6624102047619047,0.5388367714285711,0.192516138095238,1.450238095238095,2.15868481904762,0.8142721047619048,0.6221173476190476,0.0679138333333332,0.6841269857142858,3.540952371428572,60.0
5,2022-03-12,15.714285714285714,0.0,190.11111111111111,147.1111111111111,0.581669580952381,0.4647399190476187,0.2651417714285713,1.5065306095238096,2.246814071428572,0.836,0.6230782333333332,0.0639229095238094,0.7138548809523809,3.539646257142857,64.0
5,2022-03-19,71.71428571428571,23.285714285714285,155.11111111111111,127.99999999999996,0.5737208428571429,0.4588837285714282,0.305009438095238,1.5781462571428573,2.345430842857143,0.8603809523809524,0.6266751666666668,0.057800457142857,0.7423809523809525,3.625714271428572,65.0
