fips,Week_end,Trend_1w,Trend_2w,Trend_3w,Trend_4w
32,2023-11-18,39.0,51.0,76.0,121.0
32,2023-11-25,51.0,76.0,121.0,176.0
33,2023-11-04,2.0,2.0,1.0,7.0
33,2023-11-11,2.0,1.0,7.0,15.0
33,2023-11-18,1.0,7.0,15.0,28.0
33,2023-11-25,7.0,15.0,28.0,34.0
34,2023-11-04,46.0,33.0,75.0,129.0
34,2023-11-11,33.0,75.0,129.0,160.0
34,2023-11-18,75.0,129.0,160.0,298.0
34,2023-11-25,129.0,160.0,298.0,476.0
35,2023-11-04,9.0,12.0,21.0,43.0
35,2023-11-11,12.0,21.0,43.0,89.0
35,2023-11-18,21.0,43.0,89.0,156.0
35,2023-11-25,43.0,89.0,156.0,234.0
36,2023-11-04,88.0,123.0,178.0,345.0
36,2023-11-11,123.0,178.0,345.0,509.0
36,2023-11-18,178.0,345.0,509.0,743.0
36,2023-11-25,345.0,509.0,743.0,917.0
37,2023-11-04,49.0,88.0,153.0,213.0
37,2023-11-11,88.0,153.0,213.0,313.0
37,2023-11-18,153.0,213.0,313.0,402.0
37,2023-11-25,213.0,313.0,402.0,732.0
38,2023-11-04,2.0,7.0,4.0,17.0
38,2023-11-11,7.0,4.0,17.0,11.0
38,2023-11-18,4.0,17.0,11.0,10.0
38,2023-11-25,17.0,11.0,10.0,24.0
39,2023-11-04,26.0,56.0,75.0,134.0
39,2023-11-11,56.0,75.0,134.0,161.0
39,2023-11-18,75.0,134.0,161.0,239.0
39,2023-11-25,134.0,161.0,239.0,397.0
40,2023-11-04,34.0,38.0,34.0,71.0
40,2023-11-11,38.0,34.0,71.0,61.0
40,2023-11-18,34.0,71.0,61.0,85.0
40,2023-11-25,71.0,61.0,85.0,174.0
41,2023-11-04,11.0,17.0,11.0,17.0
41,2023-11-11,17.0,11.0,17.0,43.0
41,2023-11-18,11.0,17.0,43.0,45.0
41,2023-11-25,17.0,43.0,45.0,77.0
42,2023-11-04,82.0,89.0,125.0,217.0
42,2023-11-11,89.0,125.0,217.0,284.0
42,2023-11-18,125.0,217.0,284.0,396.0
42,2023-11-25,217.0,284.0,396.0,710.0
44,2023-11-04,2.0,0.0,3.0,6.0
44,2023-11-11,0.0,3.0,6.0,6.0
44,2023-11-18,3.0,6.0,6.0,24.0
44,2023-11-25,6.0,6.0,24.0,18.0
45,2023-11-04,52.0,64.0,81.0,133.0
45,2023-11-11,64.0,81.0,133.0,179.0
45,2023-11-18,81.0,133.0,179.0,256.0
45,2023-11-25,133.0,179.0,256.0,400.0
46,2023-11-04,2.0,1.0,2.0,7.0
46,2023-11-11,1.0,2.0,7.0,6.0
46,2023-11-18,2.0,7.0,6.0,13.0
46,2023-11-25,7.0,6.0,13.0,32.0
47,2023-11-04,47.0,57.0,73.0,98.0
47,2023-11-11,57.0,73.0,98.0,153.0
47,2023-11-18,73.0,98.0,153.0,179.0
47,2023-11-25,98.0,153.0,179.0,292.0
48,2023-11-04,402.0,411.0,510.0,604.0
48,2023-11-11,411.0,510.0,604.0,711.0
48,2023-11-18,510.0,604.0,711.0,1051.0
48,2023-11-25,604.0,711.0,1051.0,1572.0
49,2023-11-04,5.0,7.0,10.0,17.0
49,2023-11-11,7.0,10.0,17.0,17.0
49,2023-11-18,10.0,17.0,17.0,24.0
49,2023-11-25,17.0,17.0,24.0,60.0
50,2023-11-04,2.0,5.0,3.0,3.0
