,fips,Week_end,Prediction_1w,Prediction_2w,Prediction_3w,Prediction_4w
0,1,2024-01-27,2.283466339111328,1.431601881980896,1.4324127435684204,1.4604650735855103
1,2,2024-01-27,0.5626252293586731,0.5461911559104919,0.7114019989967346,0.8779345154762268
2,4,2024-01-27,4.74986457824707,3.3749611377716064,2.305267333984375,1.572797179222107
3,5,2024-01-27,8.003538131713867,4.204048156738281,3.084162473678589,2.3865416049957275
4,6,2024-01-27,1.2321664094924927,1.228572964668274,1.1580538749694824,1.339354157447815
5,8,2024-01-27,2.259813070297241,1.8314491510391235,1.7025935649871826,1.7131119966506958
6,9,2024-01-27,2.8202028274536133,2.026705026626587,1.9210262298583984,1.734688639640808
7,10,2024-01-27,1.2780709266662598,0.7761942148208618,0.9312959313392639,0.7726041674613953
8,12,2024-01-27,2.6393048763275146,2.1308326721191406,1.8293073177337646,1.7756156921386719
9,13,2024-01-27,3.694089651107788,2.8886842727661133,2.2194387912750244,1.8819060325622559
10,15,2024-01-27,1.940941572189331,1.5365924835205078,1.185896635055542,1.0737859010696411
11,16,2024-01-27,1.5411925315856934,1.1055763959884644,0.894763708114624,0.7428483366966248
12,17,2024-01-27,0.869845986366272,0.965427577495575,0.8467689752578735,0.8131327629089355
13,18,2024-01-27,3.1140575408935547,2.0987660884857178,1.6219658851623535,1.562774896621704
14,19,2024-01-27,1.9502445459365845,1.1820591688156128,0.9878431558609009,1.1764605045318604
15,20,2024-01-27,1.111314296722412,0.9793738722801208,1.053653359413147,1.2193430662155151
16,21,2024-01-27,2.8475425243377686,2.5831706523895264,1.9132660627365112,1.922974944114685
17,22,2024-01-27,3.277031183242798,1.4929271936416626,1.2481828927993774,1.150296688079834
18,23,2024-01-27,1.568781852722168,1.3812919855117798,1.586635708808899,1.4734982252120972
19,24,2024-01-27,1.817125678062439,1.5878218412399292,1.44245183467865,1.4558279514312744
20,25,2024-01-27,1.4600178003311157,0.9668587446212769,0.8103165030479431,0.6522701382637024
21,26,2024-01-27,1.9869933128356934,1.8879069089889526,1.9640142917633057,2.1363182067871094
22,27,2024-01-27,2.411895513534546,2.0921988487243652,1.5418004989624023,1.48707914352417
23,28,2024-01-27,3.2213377952575684,2.322139024734497,1.599297046661377,1.5127485990524292
24,29,2024-01-27,2.107311248779297,1.635694980621338,1.9273638725280762,2.249406099319458
25,30,2024-01-27,3.4372472763061523,2.0591959953308105,2.150899887084961,2.1637675762176514
26,31,2024-01-27,1.4494048357009888,1.4189575910568237,1.3470113277435303,1.4823143482208252
27,32,2024-01-27,1.7089015245437622,1.5596355199813843,1.3902664184570312,1.2271219491958618
28,33,2024-01-27,1.1886742115020752,1.0409239530563354,0.8406773209571838,0.8092368245124817
29,34,2024-01-27,3.673877716064453,3.1546919345855713,2.7283482551574707,2.0892817974090576
30,35,2024-01-27,3.43683123588562,2.761795997619629,2.277400255203247,2.2310397624969482
31,36,2024-01-27,1.364772081375122,0.8877129554748535,0.9859765768051147,1.502698540687561
32,37,2024-01-27,2.0695974826812744,1.3013747930526733,1.0753326416015625,0.9943094253540039
33,38,2024-01-27,4.280381202697754,2.7988579273223877,2.7609100341796875,2.582462787628174
34,39,2024-01-27,3.511280059814453,3.552497625350952,3.248853921890259,3.5162298679351807
35,40,2024-01-27,7.751158237457275,5.772829532623291,5.907886981964111,6.217056751251221
36,41,2024-01-27,1.19893479347229,1.2794042825698853,1.2460787296295166,1.2924416065216064
37,42,2024-01-27,1.4048813581466675,1.3025522232055664,0.9775776267051697,0.7816944122314453
38,44,2024-01-27,2.495589017868042,1.9143199920654297,1.6493552923202515,1.998781681060791
39,45,2024-01-27,3.0402934551239014,2.2416563034057617,1.8037688732147217,2.0112271308898926
40,46,2024-01-27,1.7562767267227173,0.9580942392349243,0.9112866520881653,0.6558287143707275
41,47,2024-01-27,2.2769768238067627,1.706805944442749,1.5435553789138794,1.5879210233688354
42,48,2024-01-27,2.0927624702453613,1.0382874011993408,1.100127935409546,1.3337030410766602
43,49,2024-01-27,1.4127792119979858,1.5569508075714111,1.2088137865066528,0.9084867835044861
44,50,2024-01-27,1.1860097646713257,0.7723062634468079,0.554263710975647,0.7505750060081482
45,51,2024-01-27,2.754507064819336,2.351897954940796,1.8419700860977173,1.6427068710327148
46,53,2024-01-27,1.4001022577285767,1.1087989807128906,0.9670007824897766,0.9677080512046814
47,54,2024-01-27,2.3218495845794678,1.1926215887069702,1.236894965171814,0.6551315784454346
48,55,2024-01-27,2.0034546852111816,1.5479239225387573,1.5834697484970093,1.462064266204834
49,56,2024-01-27,2.9500110149383545,1.9178038835525513,1.4851982593536377,1.1735023260116577
